Title,Link,Release Date,Rating,Total Votes,Awards Wins & Nominations,Country of Origin
The Whale,https://www.imdb.com/title/tt13833688/?ref_=adv_li_tt,"December 9, 2022 (United States)",,,"Awards4 wins & 2 nominations",United States
Thor: Love and Thunder,https://www.imdb.com/title/tt10648342/?ref_=adv_li_tt,"July 8, 2022 (United States)",6.5,243K,"Awards3 nominations",Australia
Don't Worry Darling,https://www.imdb.com/title/tt10731256/?ref_=adv_li_tt,"September 23, 2022 (United States)",,,"Awards1 win & 2 nominations",United States
